FBB Calc Rank,Player
1,Christian McCaffrey
2,Dalvin Cook
3,Derrick Henry
4,Alvin Kamara
5,Ezekiel Elliott
6,Davante Adams
7,Nick Chubb
8,Saquon Barkley
9,Travis Kelce
10,Austin Ekeler
11,Aaron Jones
12,Tyreek Hill
13,Jonathan Taylor
14,Stefon Diggs
15,Najee Harris
16,DeAndre Hopkins
17,Antonio Gibson
18,Clyde Edwards-Helaire
19,Joe Mixon
20,Calvin Ridley
21,DK Metcalf
22,Patrick Mahomes
23,Darren Waller
24,Justin Jefferson
25,JK Dobbins
26,AJ Brown
27,Keenan Allen
28,George Kittle
29,David Montgomery
30,Chris Carson
31,D'Andre Swift
32,Terry McLaurin
33,CeeDee Lamb
34,Josh Jacobs
35,Allen Robinson II
36,Miles Sanders
37,Josh Allen
38,Myles Gaskin
39,Julio Jones
40,Kyle Pitts
41,Mike Evans
42,Robert Woods
43,Mike Davis
44,Kyler Murray
45,Darrell Henderson Jr
46,Amari Cooper
47,Cooper Kupp
48,Kareem Hunt
49,Chris Godwin
50,Lamar Jackson
51,James Robinson
52,Michael Thomas
53,Adam Thielen
54,Mark Andrews
55,Travis Etienne
56,Diontae Johnson
57,Dak Prescott
58,TJ Hockenson
59,Raheem Mostert
60,DJ Moore
61,Tyler Lockett
62,Chase Edmonds
63,Justin Herbert
64,Ja'Marr Chase
65,Aaron Rodgers
66,Javonte Williams
67,Brandon Aiyuk
68,Damien Harris
69,Kenny Golladay
70,Odell Beckham Jr
71,Russell Wilson
72,Michael Carter
73,Melvin Gordon
74,Tee Higgins
75,Chase Claypool
76,Trey Sermon
77,Dallas Goedert
78,Leonard Fournette
79,Tom Brady
80,Logan Thomas
81,DeVonta Smith
82,Ronald Jones II
83,Jerry Jeudy
84,Courtland Sutton
85,Noah Fant
86,Matthew Stafford
87,David Johnson
88,DJ Chark Jr
89,JuJu Smith-Schuster
90,Zack Moss
91,Deebo Samuel
92,James Conner
93,AJ Dillon
94,Robby Anderson
95,Antonio Brown
96,Kenyan Drake
97,Jalen Hurts
98,Laviska Shenault Jr
99,Hunter Henry
100,Ryan Tannehill
101,Michael Pittman Jr
102,Gus Edwards
103,Robert Tonyan
104,Tyler Boyd
105,Devin Singletary
106,JD McKissic
107,Joe Burrow
108,Tony Pollard
109,Brandin Cooks
110,Mike Williams
111,Steelers
112,Jamaal Williams
113,Jarvis Landry
114,Mecole Hardman
115,Will Fuller V
116,Latavius Murray
117,Nyheim Hines
118,Rams
119,Alexander Mattison
120,Jaylen Waddle
121,Curtis Samuel
122,Buccaneers
123,Matt Ryan
124,Tyler Higbee
125,Evan Engram
126,Henry Ruggs III
127,Washington
128,Trevor Lawrence
129,Phillip Lindsay
130,Deshaun Watson
131,Marquise Brown
132,Rob Gronkowski
133,Russell Gage
134,Rashaad Penny
135,Darnell Mooney
136,Elijah Moore
137,Michael Gallup
138,Tevin Coleman
139,Ravens
140,Baker Mayfield
141,Tarik Cohen
142,Colts
143,Xavier Jones
144,James White
145,Giovani Bernard
146,Corey Davis
147,Justin Tucker
148,49ers
149,Harrison Butker
150,Mike Gesicki
151,Trey Lance
152,Younghoe Koo
153,TY Hilton
154,Irv Smith Jr
155,Chuba Hubbard
156,Patriots
157,Cole Beasley
158,Kirk Cousins
159,Greg Zuerlein
160,Tyler Bass
161,Jason Sanders
162,Browns
163,Adam Trautman
164,Rodrigo Blankenship
165,Marvin Jones Jr
166,Ryan Succop
167,Wil Lutz
168,Jonnu Smith
169,Marlon Mack
170,Tre'Quan Smith
171,Ben Roethlisberger
172,Rashod Bateman
173,Randall Cobb
174,Bills
175,Kenneth Gainwell
176,Matt Prater
177,Damien Williams
178,DeVante Parker
179,AJ Green
180,Justin Fields
181,Darrel Williams
182,Jared Cook
183,Devontae Booker
184,Blake Jarwin
185,Amon-Ra St Brown
186,Vikings
187,Zach Ertz
188,Jameis Winston
189,Ryan Fitzpatrick
190,Robbie Gould
191,Emmanuel Sanders
192,Mark Ingram
193,Chargers
194,Darrynton Evans
195,Justin Jackson
196,Matt Gay
197,Tua Tagovailoa
198,Cam Newton
199,Dolphins
200,Gerald Everett
201,Jamison Crowder
202,Derek Carr
203,Mason Crosby
204,Broncos
205,Sammy Watkins
206,Nelson Agholor
207,Anthony Firkser
208,Jason Myers
209,Daniel Carlson
210,Salvon Ahmed
211,Bears
212,Gabriel Davis
213,Jalen Reagor
214,Chiefs
215,Brandon McManus
216,Sony Michel
217,Michael Badgley
