Fantasy Pros Rank,Player
1,Christian McCaffrey
2,Dalvin Cook
3,Alvin Kamara 
4,Ezekiel Elliott 
5,Derrick Henry 
6,Davante Adams 
7,Saquon Barkley 
8,Tyreek Hill 
9,Aaron Jones 
10,Stefon Diggs 
11,Austin Ekeler 
12,DeAndre Hopkins 
13,Calvin Ridley 
14,Travis Kelce 
15,Jonathan Taylor 
16,Nick Chubb 
17,Darren Waller 
18,Justin Jefferson 
19,DK Metcalf 
20,Keenan Allen 
21,AJ Brown 
22,Joe Mixon 
23,Antonio Gibson 
24,Allen Robinson II 
25,Patrick Mahomes
26,George Kittle 
27,Terry McLaurin 
28,Clyde Edwards-Helaire 
29,Najee Harris 
30,D'Andre Swift 
31,CeeDee Lamb 
32,Robert Woods 
33,Amari Cooper 
34,Chris Godwin 
35,Chris Carson 
36,Mike Evans 
37,Julio Jones 
38,DJ Moore 
39,David Montgomery 
40,JK Dobbins 
41,Cooper Kupp 
42,Diontae Johnson 
43,Josh Allen 
44,Miles Sanders 
45,Tyler Lockett 
46,Adam Thielen 
47,Josh Jacobs 
48,TJ Hockenson 
49,Kyler Murray 
50,Lamar Jackson 
51,Myles Gaskin 
52,Mark Andrews 
53,Kenny Golladay 
54,Tee Higgins 
55,Darrell Henderson Jr
56,Dak Prescott 
57,Brandon Aiyuk 
58,Mike Davis 
59,Kareem Hunt 
60,Travis Etienne 
61,JuJu Smith-Schuster 
62,Kyle Pitts 
63,Odell Beckham Jr 
64,Courtland Sutton 
65,Ja'Marr Chase 
66,Russell Wilson 
67,Chase Edmonds 
68,Chase Claypool 
69,Robby Anderson 
70,DJ Chark Jr 
71,Tyler Boyd 
72,Aaron Rodgers 
73,Justin Herbert 
74,Jerry Jeudy 
75,Deebo Samuel 
76,Dallas Goedert 
77,Noah Fant 
78,Brandin Cooks 
79,Melvin Gordon
80,Javonte Williams 
81,Will Fuller V 
82,Raheem Mostert 
83,James Robinson 
84,Damien Harris 
85,Tom Brady 
86,Ryan Tannehill 
87,Jarvis Landry 
88,David Johnson 
89,Ronald Jones II 
90,Jalen Hurts 
91,Logan Thomas 
92,Curtis Samuel 
93,Michael Thomas 
94,DeVonta Smith 
95,Laviska Shenault Jr 
96,Matthew Stafford 
97,Michael Carter 
98,Leonard Fournette 
99,Antonio Brown 
100,Robert Tonyan 
101,Zack Moss 
102,Joe Burrow 
103,Corey Davis 
104,James Conner 
105,Tyler Higbee 
106,Kenyan Drake 
107,Nyheim Hines 
108,Trey Sermon 
109,Michael Gallup 
110,Mike Williams 
111,DeVante Parker 
112,Mike Gesicki 
113,Matt Ryan 
114,Jamaal Williams 
115,Michael Pittman Jr 
116,Devin Singletary 
117,Marvin Jones Jr 
118,Trevor Lawrence 
119,Kirk Cousins 
120,Tony Pollard 
121,Marquise Brown 
122,Irv Smith Jr 
123,AJ Dillon 
124,Evan Engram 
125,Darnell Mooney 
126,Jaylen Waddle 
127,Latavius Murray 
128,Jonnu Smith 
129,JD McKissic 
130,Gus Edwards 
131,James White 
132,Tarik Cohen 
133,Baker Mayfield 
134,Hunter Henry 
135,TY Hilton 
136,Phillip Lindsay 
137,Cole Beasley 
138,Tua Tagovailoa 
139,Ryan Fitzpatrick 
140,Mecole Hardman 
141,Daniel Jones 
142,Rob Gronkowski 
143,Ben Roethlisberger 
144,Blake Jarwin 
145,Cole Kmet 
146,Alexander Mattison 
147,Sterling Shepard 
148,Henry Ruggs III 
149,Steelers 
150,Rams 
151,Jalen Reagor 
152,Russell Gage 
153,Adam Trautman 
154,Austin Hooper 
155,Ravens 
156,Nelson Agholor 
157,Derek Carr 
158,Jamison Crowder 
159,Gerald Everett 
160,John Brown 
161,Giovani Bernard 
162,Rashod Bateman 
163,Elijah Moore 
164,Tevin Coleman 
165,Justin Fields 
166,Tre'Quan Smith 
167,Rashaad Penny 
168,49ers 
169,Justin Tucker 
170,Christian Kirk 
171,Colts 
172,Jared Cook 
173,Washington
174,Buccaneers 
175,Zach Ertz 
176,Sam Darnold 
177,Gabriel Davis 
178,Harrison Butker 
179,Anthony Firkser 
180,Eric Ebron 
181,Parris Campbell 
182,Younghoe Koo 
183,Emmanuel Sanders 
184,Bills 
185,Kenneth Gainwell 
186,Patriots 
187,Rondale Moore 
188,Saints 
189,Breshad Perriman 
190,Jakobi Meyers 
191,Salvon Ahmed 
192,Greg Zuerlein 
193,Darrel Williams 
194,Marlon Mack 
195,Chiefs 
196,Trey Lance 
197,Jared Goff 
198,Carson Wentz 
199,Darius Slayton 
200,Zach Wilson 
201,Cam Newton 
202,Sony Michel 
203,Wil Lutz 
204,Allen Lazard 
205,AJ Green 
206,Jason Sanders 
207,Damien Williams 
208,Darrynton Evans 
209,Bears 
210,Hayden Hurst 
211,Amon-Ra St Brown 
212,Joshua Kelley 
213,Denzel Mims 
214,Bryan Edwards 
215,Chargers 
216,Broncos 
217,Jameis Winston 
218,Randall Cobb 
219,Matt Prater 
220,Dolphins 
221,Rodrigo Blankenship 
222,Browns 
223,Sammy Watkins 
224,Robbie Gould 
225,Justin Jackson 
226,Terrace Marshall Jr 
227,Chuba Hubbard 
228,Tyler Bass 
229,Jason Myers 
230,Malcolm Brown 
231,Ryan Succop 
232,Marquez Valdes-Scantling 
233,Benny Snell Jr 
