Player,Heath CBS Rank,Position
C. McCaffrey,1,RB
D. Cook,2,RB
A. Kamara,3,RB
D. Henry,4,RB
E. Elliott,5,RB
A. Jones,6,RB
D. Adams,7,WR
A. Ekeler,8,RB
T. Kelce,9,TE
T. Hill,10,WR
J. Mixon,11,RB
S. Diggs,12,WR
D. Hopkins,13,WR
A. Brown,14,WR
C. Ridley,15,WR
D. Swift,16,RB
J. Taylor,17,RB
S. Barkley,18,RB
D. Montgomery,19,RB
N. Chubb,20,RB
K. Allen,21,WR
N. Harris,22,RB
C. Carson,23,RB
A. Robinson II,24,WR
T. McLaurin,25,WR
A. Gibson,26,RB
J. Jefferson,27,WR
D. Waller,28,TE
G. Kittle,29,TE
D. Metcalf,30,WR
P. Mahomes,31,QB
T. Lockett,32,WR
R. Woods,33,WR
M. Gaskin,34,RB
D. Henderson Jr,35,RB
J. Jacobs,36,RB
M. Davis,37,RB
C. Edwards-Helaire,38,RB
C. Kupp,39,WR
J. Dobbins,40,RB
M. Sanders,41,RB
J. Jones,42,WR
D. Moore,43,WR
M. Andrews,44,TE
C. Lamb,45,WR
A. Cooper,46,WR
T. Etienne,47,RB
L. Jackson,48,QB
J. Allen,49,QB
D. Prescott,50,QB
R. Wilson,51,QB
K. Murray,52,QB
C. Edmonds,53,RB
D. Johnson,54,WR
J. Chase,55,WR
C. Godwin,56,WR
J. Smith-Schuster,57,WR
M. Evans,58,WR
K. Hunt,59,RB
R. Anderson,60,WR
A. Thielen,61,WR
B. Aiyuk,62,WR
C. Claypool,63,WR
K. Golladay,64,WR
T. Boyd,65,WR
T. Higgins,66,WR
R. Mostert,67,RB
D. Chark Jr,68,WR
B. Cooks,69,WR
C. Samuel,70,WR
A. Brown,71,WR
T. Hockenson,72,TE
K. Pitts,73,TE
M. Hardman,74,WR
D. Samuel,75,WR
C. Sutton,76,WR
M. Gordon,77,RB
M. Carter,78,RB
D. Harris,79,RB
J. Williams,80,RB
M. Thomas,81,WR
M. Williams,82,WR
D. Johnson,83,RB
J. Williams,84,RB
K. Drake,85,RB
T. Brady,86,QB
J. Jeudy,87,WR
J. Waddle,88,WR
J. Conner,89,RB
D. Singletary,90,RB
A. Rodgers,91,QB
R. Tannehill,92,QB
J. Herbert,93,QB
J. Hurts,94,QB
N. Fant,95,TE
M. Jones Jr,96,WR
D. Mooney,97,WR
W. Fuller V,98,WR
Z. Moss,99,RB
L. Shenault,100,WR
O. Beckham Jr,101,WR
J. Landry,102,WR
T. Sermon,103,RB
D. Goedert,104,TE
R. Jones II,105,RB
M. Gallup,106,WR
T. Marshall,107,WR
M. Brown,108,WR
E. Moore,109,WR
D. Smith,110,WR
G. Bernard,111,RB
T. Hilton,112,WR
M. Pittman Jr,113,WR
J. White,114,RB
L. Murray,115,RB
N. Hines,116,RB
J. Robinson,117,RB
A. Dillon,118,RB
L. Thomas,119,TE
I. Smith Jr,120,TE
A. Trautman,121,TE
R. Bateman,122,WR
J. Burrow,123,QB
M. Stafford,124,QB
D. Parker,125,WR
S. Shepard,126,WR
J. Meyers,127,WR
C. Davis,128,WR
R. Moore,129,WR
J. Crowder,130,WR
A. Hooper,131,TE
A. Firkser,132,TE
R. Tonyan,133,TE
T. Pollard,134,RB
L. Fournette,135,RB
J. McKissic,136,RB
T. Higbee,137,TE
G. Edwards,138,RB
R. Gage,139,WR
J. Kelley,140,RB
C. Kmet,141,TE
T. Coleman,142,RB
M. Gesicki,143,TE
B. Jarwin,144,TE
C. Newton,145,QB
X. Jones,146,RB
R. Gronkowski,147,TE
O. Zaccheaus,148,WR
J. Reagor,149,WR
E. Sanders,150,WR
A. St. Brown,151,WR
G. Davis,152,WR
H. Ruggs,153,WR
T. Lawrence,154,QB
J. Smith,155,TE
T. Williams,156,WR
T. Smith,157,WR
P. Campbell,158,WR
A. Rodgers,159,WR
B. Edwards,160,WR
M. Callaway,161,WR
D. Brown,162,WR
H. Henry,163,TE
O. Howard,164,TE
J. Fields,165,QB
T. Lance,166,QB
D. Watson,167,QB
T. Hill,168,QB
J. Brown,169,WR
B. Pringle,170,WR
D. Robinson,171,WR
C. Beasley,172,WR
D. Jackson,173,WR
W. Dissly,174,TE
E. Ebron,175,TE
E. Engram,176,TE
M. Alie-Cox,177,TE
V. Jefferson,178,WR
A. Mattison,179,RB
J. Winston,180,QB
N. Collins,181,WR
C. Kirk,182,WR
D. Eskridge,183,WR
R. Cobb,184,WR
K. Coutee,185,WR
A. Green,186,WR
D. Williams,187,RB
K. Hamler,188,WR
G. Everett,189,TE
Z. Ertz,190,TE
H. Renfrow,191,WR
J. Akins,192,TE
D. Booker,193,RB
T. Cohen,194,RB
D. Evans,195,RB
P. Lindsay,196,RB
R. Penny,197,RB
R. Fitzpatrick,198,QB
K. Cousins,199,QB
B. Roethlisberger,200,QB
