Ringer Rank,Player
1,Christian McCaffrey
2,Dalvin Cook
3,Ezekiel Elliott
4,Davante Adams
5,Derrick Henry
6,Alvin Kamara
7,Stefon Diggs
8,Tyreek Hill
9,Travis Kelce
10,DeAndre Hopkins
11,Saquon Barkley
12,Austin Ekeler
13,Aaron Jones
14,Calvin Ridley
15,Jonathan Taylor
16,Nick Chubb
17,Keenan Allen
18,Darren Waller
19,Joe Mixon
20,AJ Brown
21,DK Metcalf
22,Justin Jefferson
23,Najee Harris
24,Antonio Gibson
25,George Kittle
26,Amari Cooper
27,Allen Robinson II
28,Terry McLaurin
29,CeeDee Lamb
30,Clyde Edwards-Helaire
31,Chris Godwin
32,Julio Jones
33,Mike Evans
34,Robert Woods
35,D'Andre Swift
36,Tyler Lockett
37,Miles Sanders
38,Cooper Kupp
39,Chris Carson
40,Diontae Johnson
41,DJ Moore
42,Josh Jacobs
43,Adam Thielen
44,David Montgomery
45,Kyle Pitts
46,JK Dobbins
47,Ja'Marr Chase
48,Kenny Golladay
49,Tee Higgins
50,TJ Hockenson
51,Mark Andrews
52,Odell Beckham Jr
53,Patrick Mahomes
54,Brandon Aiyuk
55,Courtland Sutton
56,Darrell Henderson Jr
57,Mike Davis
58,Robby Anderson
59,Kyler Murray
60,Chase Claypool
61,Travis Etienne
62,Tyler Boyd
63,Josh Allen
64,JuJu Smith-Schuster
65,Kareem Hunt
66,Lamar Jackson
67,DJ Chark Jr
68,Myles Gaskin
69,Deebo Samuel
70,Jerry Jeudy
71,Dak Prescott
72,Jarvis Landry
73,Javonte Williams
74,Chase Edmonds
75,Brandin Cooks
76,Dallas Goedert
77,Trey Sermon
78,DeVonta Smith
79,Will Fuller V
80,Justin Herbert
81,Damien Harris
82,Russell Wilson
83,Raheem Mostert
84,Antonio Brown
85,Marquise Brown
86,Aaron Rodgers
87,Ronald Jones II
88,Logan Thomas
89,DeVante Parker
90,Mike Williams
91,Curtis Samuel
92,Jalen Hurts
93,Melvin Gordon
94,Corey Davis
95,Zack Moss
96,Michael Gallup
97,Tyler Higbee
98,Michael Pittman Jr
99,Robert Tonyan
100,Ryan Tannehill
101,Laviska Shenault Jr
102,David Johnson
103,Tre'Quan Smith
104,Michael Carter
105,Noah Fant
106,Matthew Stafford
107,James Robinson
108,Tom Brady
109,TY Hilton
110,Leonard Fournette
111,Mike Gesicki
112,James Conner
113,Michael Thomas
114,Kenyan Drake
115,Tony Pollard
116,Latavius Murray
117,Hunter Henry
118,Nyheim Hines
119,Jaylen Waddle
120,Joe Burrow
121,AJ Dillon
122,Mecole Hardman
123,Devin Singletary
124,Elijah Moore
125,Jalen Reagor
126,Darnell Mooney
127,Justin Fields
128,Jamaal Williams
129,Evan Engram
130,Jonnu Smith
131,Phillip Lindsay
132,Kirk Cousins
133,Trevor Lawrence
134,Rondale Moore
135,Marvin Jones Jr
136,Breshad Perriman
137,Cole Beasley
138,Adam Trautman
139,JD McKissic
140,Nelson Agholor
141,Gabriel Davis
142,Henry Ruggs III
143,Tarik Cohen
144,Matt Ryan
145,Trey Lance
146,Alexander Mattison
147,Rob Gronkowski
148,Irv Smith Jr
149,Baker Mayfield
150,Giovani Bernard
151,Sterling Shepard
152,John Brown
153,Gus Edwards
154,James White
155,Rashod Bateman
156,Rashaad Penny
157,Ryan Fitzpatrick
158,Rams
159,Daniel Jones
160,Washington
161,Zach Wilson
162,Parris Campbell
163,Steelers
164,Buccaneers
165,Justin Tucker
166,Harrison Butker
167,Denzel Mims
168,Zach Ertz
169,Christian Kirk
170,Jared Cook
171,Jakobi Meyers
172,Tua Tagovailoa
173,Ravens
174,Greg Zuerlein
175,49ers
176,Colts
177,Patriots
178,Tevin Coleman
179,Younghoe Koo
180,Bills
181,Jamison Crowder
182,Saints
183,Ryan Succop
184,Tyler Bass
185,Allen Lazard
186,Wil Lutz
187,Carson Wentz
188,Jason Sanders
189,Darius Slayton
190,Ben Roethlisberger
191,Rodrigo Blankenship
192,Matt Gay
193,Robbie Gould
194,Browns
195,Russell Gage
196,Gerald Everett
197,Derek Carr
198,Chargers
199,Daniel Carlson
200,Eric Ebron
201,Austin Hooper
202,Darrel Williams
203,Darrynton Evans
204,Randall Cobb
205,Ty Johnson
206,Devontae Booker
207,Sony Michel
208,Cole Kmet
209,Broncos
210,Jason Myers
211,Brandon McManus
212,Graham Gano
213,Josh Lambo
214,Matt Prater
215,Tyrell Williams
216,AJ Green
217,Kadarius Toney
218,Wayne Gallman
219,Justin Jackson
