ESPN Rank,Player
1,Christian McCaffrey
2,Dalvin Cook
3,Saquon Barkley
4,Travis Kelce
5,Alvin Kamara
6,Derrick Henry
7,Ezekiel Elliott
8,Jonathan Taylor
9,Davante Adams
10,Tyreek Hill
11,Austin Ekeler
12,Stefon Diggs
13,Aaron Jones
14,Nick Chubb
15,Antonio Gibson
16,Joe Mixon
17,DeAndre Hopkins
18,Najee Harris
19,Clyde Edwards-Helaire
20,Calvin Ridley
21,DK Metcalf
22,D'Andre Swift
23,Miles Sanders
24,AJ Brown
25,Justin Jefferson
26,Terry McLaurin
27,Keenan Allen
28,David Montgomery
29,JK Dobbins
30,Chris Carson
31,Allen Robinson II
32,Amari Cooper
33,Mike Evans
34,Robert Woods
35,CeeDee Lamb
36,Darren Waller
37,George Kittle
38,Josh Jacobs
39,Darrell Henderson Jr
40,Adam Thielen
41,Diontae Johnson
42,Julio Jones
43,Myles Gaskin
44,DJ Moore
45,Chris Godwin
46,Tyler Lockett
47,Cooper Kupp
48,Kenny Golladay
49,Brandon Aiyuk
50,Ja'Marr Chase
51,Courtland Sutton
52,JuJu Smith-Schuster
53,Tee Higgins
54,Mark Andrews
55,Patrick Mahomes
56,Josh Allen
57,Odell Beckham Jr
58,Michael Thomas
59,Chase Claypool
60,Laviska Shenault Jr
61,Kyler Murray
62,Dak Prescott
63,Chase Edmonds
64,Travis Etienne
65,Kareem Hunt
66,Robby Anderson
67,Will Fuller V
68,Brandin Cooks
69,DJ Chark Jr
70,Jerry Jeudy
71,Tyler Boyd
72,TJ Hockenson
73,Kyle Pitts
74,Curtis Samuel
75,Javonte Williams
76,Mike Davis
77,James Robinson
78,Lamar Jackson
79,Aaron Rodgers
80,Russell Wilson
81,Logan Thomas
82,Dallas Goedert
83,Michael Gallup
84,Deebo Samuel
85,DeVonta Smith
86,Marquise Brown
87,Jarvis Landry
88,Antonio Brown
89,Justin Herbert
90,Tom Brady
91,Damien Harris
92,Raheem Mostert
93,Jaylen Waddle
94,Henry Ruggs III
95,Corey Davis
96,Jalen Reagor
97,Cole Beasley
98,Marvin Jones Jr
99,Mike Williams
100,Zack Moss
101,Leonard Fournette
102,David Johnson
103,Kenyan Drake
104,Ryan Tannehill
105,Joe Burrow
106,Noah Fant
107,Robert Tonyan
108,Mike Gesicki
109,Jonnu Smith
110,James Conner
111,Melvin Gordon
112,Ronald Jones II
113,Michael Carter
114,AJ Dillon
115,Jalen Hurts
116,TY Hilton
117,Mecole Hardman
118,Michael Pittman Jr
119,Irv Smith Jr
120,Hunter Henry
121,Eric Ebron
122,Evan Engram
123,Nyheim Hines
124,Trey Sermon
125,Jamaal Williams
126,Devin Singletary
127,JD McKissic
128,Matthew Stafford
129,Trevor Lawrence
130,Parris Campbell
131,DeVante Parker
132,Darnell Mooney
133,Jakobi Meyers
134,Nelson Agholor
135,Elijah Moore
136,James White
137,Tarik Cohen
138,Latavius Murray
139,Gus Edwards
140,Alexander Mattison
141,Tony Pollard
142,Giovani Bernard
143,Rob Gronkowski
144,Austin Hooper
145,Tua Tagovailoa
146,Matt Ryan
147,Ben Roethlisberger
148,Tevin Coleman
149,Phillip Lindsay
150,Darrel Williams
151,Darrynton Evans
152,Russell Gage
153,Tre'Quan Smith
154,Rashod Bateman
155,Randall Cobb
156,Rondale Moore
157,Jamison Crowder
158,Breshad Perriman
159,Rashaad Penny
160,Ty Johnson
161,Devontae Booker
162,Sony Michel
163,Tyler Higbee
164,Adam Trautman
165,Daniel Jones
166,Baker Mayfield
167,Kirk Cousins
168,Cole Kmet
169,Buccaneers
170,Steelers
171,Ravens
172,49ers
173,Washington
174,Bills
175,Broncos
176,Rams
177,Patriots
178,Browns
179,Colts
180,Saints
181,Harrison Butker
182,Justin Tucker
183,Jason Myers
184,Brandon McManus
185,Jason Sanders
186,Younghoe Koo
187,Matt Gay
188,Graham Gano
189,Greg Zuerlein
190,Tyler Bass
191,Josh Lambo
192,Matt Prater
193,Tyrell Williams
194,Sterling Shepard
195,AJ Green
196,John Brown
197,Gabriel Davis
198,Kadarius Toney
199,Wayne Gallman
200,Justin Jackson
201,Salvon Ahmed
202,Chuba Hubbard
203,Malcolm Brown
204,Marlon Mack
205,Rhamondre Stevenson
206,Samaje Perine
207,Xavier Jones
208,Javian Hawkins
209,Joshua Kelley
210,DeeJay Dallas
211,Zach Ertz
212,Ryan Fitzpatrick
213,Terrace Marshall Jr
214,Emmanuel Sanders
215,Amon-Ra St Brown
216,D'Wayne Eskridge
217,Nico Collins
218,Denzel Mims
219,Justin Fields
220,Deshaun Watson
221,Packers
222,Dolphins
223,Daniel Carlson
224,Wil Lutz
225,KJ Hamler
226,Christian Kirk
227,Allen Lazard
228,Marquez Valdes-Scantling
229,Demarcus Robinson
230,Byron Pringle
231,Darius Slayton
232,Van Jefferson
233,Tutu Atwell
