Player,PFF Rank
Christian McCaffrey,1
Dalvin Cook,2
Derrick Henry,3
Alvin Kamara,4
Ezekiel Elliott,5
Davante Adams,6
Nick Chubb,7
Travis Kelce,8
Saquon Barkley,9
Aaron Jones,10
Austin Ekeler,11
Tyreek Hill,12
Stefon Diggs,13
Jonathan Taylor,14
Najee Harris,15
Antonio Gibson,16
DeAndre Hopkins,17
Clyde Edwards-Helaire,18
Calvin Ridley,19
Joe Mixon,20
DK Metcalf,21
Patrick Mahomes,22
Darren Waller,23
Justin Jefferson,24
JK Dobbins,25
AJ Brown,26
Keenan Allen,27
George Kittle,28
David Montgomery,29
Chris Carson,30
D'Andre Swift,31
Terry McLaurin,32
CeeDee Lamb,33
Josh Jacobs,34
Allen Robinson II,35
Josh Allen,36
Miles Sanders,37
Myles Gaskin,38
Julio Jones,39
Kyle Pitts,40
Mike Evans,41
Robert Woods,42
Darrell Henderson,43
Mike Davis,44
Kyler Murray,45
Amari Cooper,46
Cooper Kupp,47
Kareem Hunt,48
Chris Godwin,49
Lamar Jackson,50
James Robinson,51
Michael Thomas,52
Travis Etienne,53
Adam Thielen,54
Diontae Johnson,55
Mark Andrews,56
TJ Hockenson,57
Dak Prescott,58
DJ Moore,59
Raheem Mostert,60
Tyler Lockett,61
Chase Edmonds,62
Justin Herbert,63
Ja'Marr Chase,64
Aaron Rodgers,65
Brandon Aiyuk,66
Javonte Williams,67
Damien Harris,68
Odell Beckham Jr,69
Russell Wilson,70
Michael Carter,71
Kenny Golladay,72
Tee Higgins,73
Chase Claypool,74
Melvin Gordon III,75
Dallas Goedert,76
Trey Sermon,77
Leonard Fournette,78
Tom Brady,79
Logan Thomas,80
Jerry Jeudy,81
Ronald Jones,82
DeVonta Smith,83
Courtland Sutton,84
Noah Fant,85
Matthew Stafford,86
David Johnson,87
DJ Chark Jr,88
Zack Moss,89
JuJu Smith-Schuster,90
Deebo Samuel,91
James Conner,92
AJ Dillon,93
Robby Anderson,94
Antonio Brown,95
Laviska Shenault Jr,96
Kenyan Drake,97
Ryan Tannehill,98
Jalen Hurts,99
Robert Tonyan,100
Hunter Henry,101
Gus Edwards,102
Michael Pittman Jr,103
Tyler Boyd,104
Devin Singletary,105
Mike Williams,106
JD McKissic,107
Joe Burrow,108
Tony Pollard,109
Brandin Cooks,110
Steelers,111
Jamaal Williams,112
Mecole Hardman,113
Jarvis Landry,114
Will Fuller V,115
Latavius Murray,116
Alexander Mattison,117
Rams,118
Nyheim Hines,119
Tyler Higbee,120
Jaylen Waddle,121
Buccaneers,122
Henry Ruggs III,123
Matt Ryan,124
Curtis Samuel,125
Washington,126
Trevor Lawrence,127
Phillip Lindsay,128
Evan Engram,129
Elijah Moore,130
Russell Gage,131
Rob Gronkowski,132
Rashaad Penny,133
Deshaun Watson,134
Marquise Brown,135
Darnell Mooney,136
Ravens,137
Michael Gallup,138
Xavier Jones,139
Baker Mayfield,140
Tevin Coleman,141
Tarik Cohen,142
Giovani Bernard,143
Corey Davis,144
Justin Tucker,145
James White,146
Trey Lance,147
Colts,148
Younghoe Koo,149
Irv Smith Jr,150
Cole Beasley,151
49ers,152
Harrison Butker,153
Mike Gesicki,154
Chuba Hubbard,155
Greg Zuerlein,156
Patriots,157
TY Hilton,158
Jason Sanders,159
Kirk Cousins,160
Adam Trautman,161
Browns,162
Jonnu Smith,163
Marvin Jones Jr,164
Ryan Succop,165
Rashod Bateman,166
Tyler Bass,167
Rodrigo Blankenship,168
Wil Lutz,169
Darrel Williams,170
Tre'Quan Smith,171
Marlon Mack,172
Devontae Booker,173
Justin Jackson,174
Damien Williams,175
Justin Fields,176
Kenneth Gainwell,177
Ben Roethlisberger,178
Amon-Ra St Brown,179
Matt Prater,180
Randall Cobb,181
Bills,182
DeVante Parker,183
Tua Tagovailoa,184
AJ Green,185
Ryan Fitzpatrick,186
Jared Cook,187
Bryan Edwards,188
Sammy Watkins,189
Zach Ertz,190
Chargers,191
Jameis Winston,192
Gerald Everett,193
Boston Scott,194
Matt Gay,195
Vikings,196
Broncos,197
Marquez Callaway,198
Emmanuel Sanders,199
Gabriel Davis,200
