Sporting News Rank,Player
1,Christian McCaffrey
2,Saquon Barkley
3,Alvin Kamara
4,Dalvin Cook
5,Derrick Henry
6,Ezekiel Elliott
7,Davante Adams
8,DeAndre Hopkins
9,Stefon Diggs
10,Travis Kelce
11,Aaron Jones
12,Antonio Gibson
13,Calvin Ridley
14,Tyreek Hill
15,Clyde Edwards-Helaire
16,Austin Ekeler
17,Allen Robinson II
18,Darren Waller
19,Nick Chubb
20,Jonathan Taylor
21,DK Metcalf
22,David Montgomery
23,Miles Sanders
24,George Kittle
25,Justin Jefferson
26,Keenan Allen
27,D'Andre Swift
28,Najee Harris
29,CeeDee Lamb
30,AJ Brown
31,Joe Mixon
32,Terry McLaurin
33,Patrick Mahomes
34,JK Dobbins
35,Cooper Kupp
36,Amari Cooper
37,Kyler Murray
38,Josh Allen
39,Myles Gaskin
40,Mike Evans
41,DJ Moore
42,Robert Woods
43,Tyler Lockett
44,Kyle Pitts
45,Chris Carson
46,Michael Thomas
47,Julio Jones
48,Chris Godwin
49,Russell Wilson
50,Lamar Jackson
51,Kareem Hunt
52,Josh Jacobs
53,Mike Davis
54,Brandon Aiyuk
55,Travis Etienne
56,Chase Edmonds
57,Robby Anderson
58,TJ Hockenson
59,Odell Beckham Jr
60,Adam Thielen
61,Diontae Johnson
62,JuJu Smith-Schuster
63,Darrell Henderson Jr
64,Javonte Williams
65,Dak Prescott
66,Mark Andrews
67,Devin Singletary
68,Melvin Gordon
69,Michael Carter
70,Courtland Sutton
71,Kenny Golladay
72,DeVante Parker
73,Justin Herbert
74,Raheem Mostert
75,David Johnson
76,Noah Fant
77,Dallas Goedert
78,DJ Chark Jr
79,Ja'Marr Chase
80,Nyheim Hines
81,Logan Thomas
82,JD McKissic
83,Deebo Samuel
84,Tee Higgins
85,Antonio Brown
86,Ryan Tannehill
87,Damien Harris
88,Leonard Fournette
89,DeVonta Smith
90,Matthew Stafford
91,Phillip Lindsay
92,James Robinson
93,Chase Claypool
94,Tyler Higbee
95,Ronald Jones II
96,Tarik Cohen
97,Mike Gesicki
98,Mike Williams
99,Jerry Jeudy
100,Tom Brady
101,Aaron Rodgers
102,Robert Tonyan
103,James Conner
104,Jamaal Williams
105,Michael Pittman Jr
106,Tyler Boyd
107,Jakobi Meyers
108,Jalen Hurts
109,Will Fuller V
110,Brandin Cooks
111,TY Hilton
112,Jarvis Landry
113,Gus Edwards
114,Zack Moss
115,Jalen Reagor
116,Joe Burrow
117,Blake Jarwin
118,James White
119,Christian Kirk
120,Tre'Quan Smith
121,Marquise Brown
122,Curtis Samuel
123,Laviska Shenault Jr
124,Henry Ruggs III
125,Jonnu Smith
126,Kirk Cousins
127,Latavius Murray
128,Darnell Mooney
129,Jamison Crowder
130,Cole Beasley
131,Trevor Lawrence
132,Trey Sermon
133,Irv Smith Jr
134,AJ Dillon
135,Tony Pollard
136,Kenyan Drake
137,Matt Ryan
138,Michael Gallup
139,Corey Davis
140,Ravens
141,Buccaneers
142,Jared Cook
143,Gabriel Davis
144,Ben Roethlisberger
145,Marvin Jones Jr
146,Jaylen Waddle
147,Hunter Henry
148,Rob Gronkowski
149,Tua Tagovailoa
150,Steelers
151,Russell Gage
152,Kenneth Gainwell
153,Alexander Mattison
154,Tevin Coleman
155,Derek Carr
156,Patriots
157,Nelson Agholor
158,Emmanuel Sanders
159,Evan Engram
160,Rams
161,Breshad Perriman
162,Anthony Firkser
163,Darrel Williams
164,Justin Jackson
165,Baker Mayfield
166,Austin Hooper
167,Malcolm Brown
168,Rashaad Penny
169,Tyrell Williams
170,John Brown
171,Marquez Callaway
172,Dolphins
173,Washington
174,Bills
175,Colts
176,Daniel Jones
177,Cole Kmet
178,Cordarrelle Patterson
179,Devontae Booker
180,Jameis Winston
181,Chiefs
182,Drew Lock
183,Marlon Mack
184,Darius Slayton
185,Allen Lazard
186,Mecole Hardman
187,Kadarius Toney
188,Elijah Moore
189,Rondale Moore
190,Zach Ertz
191,Saints
192,49ers
193,Cardinals
194,Vikings
195,Browns
196,Gerald Everett
197,OJ Howard
198,Benny Snell Jr
199,Sammy Watkins
200,AJ Green
